127.0.0.1 - - [04/Aug/2022:22:38:11 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:01 -0300] "GET /activities HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:01 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:10 -0300] "GET /gestao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:11 -0300] "GET /gestao/ HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:11 -0300] "GET /gestao/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25087
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:16 -0300] "GET /gestao/primefaces HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:16 -0300] "GET /gestao/primefaces/ HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:40:49 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 9343
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:41:26 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:41:30 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:41:51 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 500 3470
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:47:57 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:05 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:06 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:06 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:08 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [04/Aug/2022:22:48:11 -0300] "GET /gestao/primefaces/Medicamento.xhtml HTTP/1.1" 200 531
